index,title,artist,duration,duration_sec
564,Молодой,NyBracho,01:52,112
565,WORLDSTAR MONEY,Speed Radio,02:06,126
566,Возвращайся,angel vox,03:47,227
567,1-800-273-8255,Logic & Alessia Cara & Khalid,04:10,250
568,Runaway,AURORA,04:11,251
569,I Love You So,The Walters,02:40,160
570,Моя голова винтом,kostromin,02:20,140
571,Ylang Ylang,FKJ & ((( O ))),03:33,213
572,It's Ok,Edith Whiskers,03:34,214
573,Migraine,twenty one pilots,03:59,239
574,Trees,twenty one pilots,04:27,267
575,Baby's On Fire,Die Antwoord,03:57,237
576,Cookie Thumper!,Die Antwoord,03:24,204
577,When I'm Small,Phantogram,04:09,249
578,ОГНЕЙ,SALUKI,03:02,182
579,Autophobia,oskalizator.,04:00,240
580,This Feeling,my!lane,02:44,164
581,Паровозик,10AGE,02:43,163
582,Лайки,Би-2,03:32,212
583,в ад только перед тобой в рай только после тебя,pyrokinesis & BOOKER,02:45,165
584,Fairly Local,twenty one pilots,03:27,207
585,Levitate,twenty one pilots,02:26,146
586,"Шаг влево, шаг вправо",Хаски,02:34,154
587,THINKIN OF A DRIVE BY,DVRST & Kingpin Skinny Pimp,02:27,147
588,Мой кайф,PHARAOH,02:42,162
589,youth,akiaura & LONOWN & Loneliness,02:38,158
590,TROJAN HORSE,Sebastian Paul,04:26,266
591,Function,TOPE2DIE,03:45,225
592,Не по пути,PHARAOH,02:37,157
593,Something In The Way,Nirvana,03:52,232
594,Песня для К,Хаски,03:45,225
595,"Дико, например",PHARAOH,02:48,168
596,Ореол,HORUS,03:12,192
597,На грустной ноте,УННВ,02:33,153
598,WASTE,KXLLSWXTCH,02:00,120
599,ОТ ЗЕМЛИ ДО ЛУНЫ,Aflapoid & heroinsickkk,02:12,132
600,Антигерой,Mnogoznaal,02:11,131
601,Томас Шелби,Kambulat,02:38,158
602,Starry Night,Jordan Critz,04:58,298
603,03,cold carti,02:07,127
604,Седьмое октября,Хаски,02:46,166
605,I MET SARAH IN THE BATHROOM,Bryston,02:01,121
606,Выпей меня,Kambulat,02:43,163
607,horror story,Arden Jones,02:03,123
608,Убей меня,Хаски & масло черного тмина,02:14,134
609,Не сдамся,Вектор А,03:04,184
610,Пауза,Kambulat,02:35,155
611,Ноктюрн,Хаски & масло черного тмина & Сюзанна,03:51,231
612,Мне это не нужно,kizaru,03:27,207
613,Она сказала мне,STED.D,02:48,168
614,"Мой ангел убил себя, я не успел с ним попрощаться",PHARAOH,02:25,145
615,быть частью,cold carti,02:08,128
616,Choker,twenty one pilots,03:43,223
617,Город,WHITE GALLOWS,02:03,123
618,Не приходи,cold carti & Райс,02:27,147
619,Пока все спят,cold carti,02:14,134
620,Бог войны,Хаски,03:42,222
621,уход,cold carti & DRUCY,02:12,132
622,BIRTH,DVRST & 6 Senz,03:59,239
623,Contract,sakuraije & Liewsenn,03:42,222
624,this is what heartbreak feels like (pretty little liar),Jvke,02:38,158
625,скоро (prod. by xmindmemories),cold carti,02:39,159
626,Home,Edith Whiskers,03:17,197
627,CtrlAltDelete,BONES,02:58,178
628,CRAZY FROG,ЯМАУГЛИ,01:33,93
629,My Flaws Burn Through My Skin Like Demonic Flames from Hell,$uicideboy$,02:48,168
630,comfort chain,umbrellq & fieldstrips,02:51,171
631,Aglow (Intro),Karamel Kel,02:06,126
632,there is light in us,Mathbonus,05:00,300
633,"if it's real, then i'll stay (slowed + reverb)",Bonjr,03:47,227
634,this feeling,Øneheart,01:34,94
635,outside,Øneheart,01:46,106
636,snowfall,Øneheart & reidenshi,02:04,124
637,Снадобье,Макс Корж,03:22,202
638,Доверял,Макс Корж,04:31,271
639,Ты далеко,Макс Корж,03:41,221
640,Это наш путь,Макс Корж,02:56,176
641,ОЙ,SQWOZ BAB,02:37,157
642,Surname,Big Baby Tape,02:37,157
643,Wasabi,Big Baby Tape,02:55,175
644,Natalie,Milk & Bone,04:35,275
645,Где найти силы,SLAVA MARLOW & Biicla,02:29,149
646,СЪЕЛ ДЕДА,MORGENSHTERN & SLAVA MARLOW,01:49,109
647,Свет и тень,STED.D,02:17,137
648,ШИЗА,ЯМАУГЛИ,02:10,130
649,СТРАШНАЯ ПЕСНЯ,ЯМАУГЛИ,02:07,127
650,Don't Dwell.,Barnacle Boi,03:34,214
651,В унисон,ATL,02:20,140
652,ПАРА ГРЁБАНЫХ МИНУТ,STED.D,03:11,191
653,ЧЕРНЫЙ СНЕГ,STED.D,03:20,200
654,I Found A Way,First Aid Kit,04:13,253
655,Вселенная,Vopross,02:24,144
656,Meaning,Cascadeur,02:57,177
657,Быстро,MORGENSHTERN & SLAVA MARLOW,01:56,116
658,Suicidal Thoughts,Josh A & Iamjakehill,03:02,182
659,Jocelyn Flores,XXXTentacion,01:59,119
660,Save Me,XXXTentacion,02:43,163
661,the remedy for a broken heart (why am I so in love),XXXTentacion,02:40,160
662,Hokage,Big Baby Tape,02:54,174
663,ULTRA TRACK,ЯМАУГЛИ,01:47,107
664,Метель,HORUS & Mnogoznaal,02:24,144
665,ГАЛАВА,ЯМАУГЛИ,02:18,138
666,Beautiful Pain,Eminem & Sia,04:25,265
667,Бог слышит нас,Saint Wenz,02:29,149
668,Трек недоступен,—,—,0
669,Моя кошка,Never Get Used To People,02:53,173
670,kitty phonk,soviss,01:30,90
671,Life Letters,Never Get Used To People,02:28,148
672,аморе аморе,pyrokinesis,02:40,160
673,Танцуйте,ATL,03:41,221
674,Мир гарь,DK,02:37,157
675,2 типа людей,Макс Корж,04:16,256
676,Стань,Макс Корж,03:08,188
677,Малиновый закат,Макс Корж,02:58,178
678,Пьяный дождь,Макс Корж,03:16,196
679,Panamera,GOODY,03:00,180
680,All Time Low,Chymes,02:39,159
681,Оптимист,Макс Корж,03:21,201
682,Серпантин,Markul,03:07,187
683,Худший друг,Markul,03:03,183
684,ПУСТОТА,GONE.Fludd,04:11,251
685,САМИМ СОБОЙ,ФОГЕЛЬ,02:36,156
686,B.I.D,Markul,03:13,193
687,Shy Away,twenty one pilots,02:55,175
688,Stay with me,yonite & Whybaby_ff & 1nonly & yamix31,02:22,142
689,BOYS DON'T CRY,GONE.Fludd,02:27,147
690,Журавли,10AGE,03:34,214
691,Другие дела,10AGE,02:51,171
692,Жизнь,10AGE,02:21,141
693,Близко,10AGE,02:42,162
694,Morph,twenty one pilots,04:19,259
695,Let Me Down Slowly,Alec Benjamin,02:49,169
696,Родная пой,Miyagi & KADI,04:22,262
697,Touch the Sky,Ollane & Miyagi,02:50,170
698,Всего лишь писатель,Oxxxymiron,03:29,209
699,Панические атаки,Sagath,03:23,203
700,Гвозди,Noize MC & Atlantida Project,03:31,211
701,Родители такому не научат (1 часть),RAM,03:31,211
702,Counting Days Till Suicide,REDZED,02:11,131
703,Counting Stars,OneRepublic,04:18,258
704,Rocket,Bearded Legend,01:47,107
705,Родина,METAN,02:22,142
706,Freaks,Surf Curse,02:27,147
707,Пушка,10AGE,03:24,204
708,Нету интереса,10AGE,03:05,185
709,Зоопарк,10AGE,03:00,180
710,Малиновый закат,LVNX & Ann Kovtun,02:03,123
711,I LOVE IT,Luminex,03:00,180
712,Неваляшка,Oxxxymiron,04:17,257
713,We Are Young,Fun. & Janelle Monáe & Wired Strings,04:11,251
714,Hate Myself,NF,04:20,260
715,Наладится,Джарахов,02:47,167
716,белые ночи,ЕГОР НАТС & anushik,03:06,186
717,Девочка Пиздец,Oxxxymiron,02:44,164
718,Холод,Saint Wenz & pavluchenko,02:42,162
719,я сохраню,cold carti,02:09,129
720,человеку нужен человек (prod. by xmindmemories),cold carti,01:58,118
721,Не герой,Lizer,03:22,202
722,Heathens,twenty one pilots,03:16,196
723,Jumpsuit,twenty one pilots,03:59,239
724,Ja Soldat,5'nizza,03:22,202
725,Tear Drop,Ryder Spot,03:34,214
726,Stressed Out,twenty one pilots,03:22,202
727,Винегрет,ЛСП,03:15,195
728,Bandito,twenty one pilots,05:31,331
729,Chlorine (Mexico City),twenty one pilots & Tyler Joseph & Josh Dun,03:59,239
730,Солдат,Любэ,05:07,307
731,Молодые ветра,7Б,04:24,264
732,Goner,twenty one pilots,03:57,237
733,Burn Me Up,Amphibious Zoo Music,02:35,155
734,Новый день,Вектор А,03:12,192
735,No Feelings,Килджо,02:18,138
736,Живая петля,ЛСП & galat,04:09,249
737,Нон стоп,Пошлая Молли,03:34,214
738,Neurotoxin,DEEP-EX-SENSE,02:37,157
739,Не убежал,ЛСП,02:53,173
740,К дому,Кепоут,02:53,173
741,Динозаврики,Папин Олимпос,03:45,225
742,Сектор Приз,ЛСП,02:55,175
743,Улицы (видеть цветные сны),ЛСП,03:48,228
744,Звёздная карта,ЛСП,03:41,221
745,Стилево,Макс Корж,01:50,110
746,Бэнкролл,Lizer,04:58,298
747,Бесконечный магазин,Хаски,02:37,157
748,Много лиц,Mnogoznaal,02:40,160
749,Курточка,Моя Мишель & ЛСП,03:14,194
750,My Life My Rules,ЛАУД & Boulevard Depo & i61,03:41,221
751,Нимфоманка,Монеточка,02:41,161
752,Танцы,ssshhhiiittt!,02:55,175
753,Tokyo Drift (Fast & Furious),Teriyaki Boyz,04:16,256
754,Мистика,ШИШ MNRX,01:28,88
755,Крепость,Дайте танк (!),03:17,197
756,Зашей,GONE.Fludd & IROH,03:16,196
757,КУБИК ЛЬДА,GONE.Fludd,02:21,141
758,Альтернатива,Дайте танк (!),03:51,231
759,Kill La Kill,GONE.Fludd & TVETH,02:38,158
760,Злая молодёжь,METAN,02:05,125
761,Монетка,ЛСП,03:20,200
762,Хиппи,ЛСП,03:18,198
763,Атака Кота,SP4K & ЛСП,03:01,181
764,Мир стал пустым без тебя,ЛСП,03:57,237
765,В голове,Lizer,03:14,194
766,Поп-звезда,ЛСП,02:57,177
767,Я приду к тебе с клубникой в декабре,pyrokinesis,04:39,279
768,Дюны,ЛСП,03:47,227
769,Make Merry,Amphibious Zoo Music,04:03,243
770,Простым,Lizer,02:20,140
771,Ураганы,ЛСП,03:05,185
772,Один,ЛСП,04:13,253
773,Принимай,Mnogoznaal,02:35,155
774,Гнев,LeTai,02:17,137
775,DarkShadowBlunts,BONES,02:08,128
776,5:00 AM,ЛСП & MORGENSHTERN,02:20,140
777,Жизнь не Голливуд,Макс Корж,05:05,305
778,Диктант,Кондрашов,03:17,197
779,Dirrt,Big Baby Tape & kizaru,02:42,162
780,Замигает свет,KENTUKKI,03:54,234
781,Кровавый батут,Вектор А & METAN,03:02,182
782,Да что романтичного в птичках?,pyrokinesis,02:10,130
783,РКН,Слава КПСС & pyrokinesis,04:58,298
784,anbu,iwilldiehere & akiaura,02:45,165
785,Фонари,Блажин,03:41,221
786,Сучка,ЛСП,03:15,195
787,чайлдфри,Noize MC & Монеточка,04:04,244
788,Золотой мальчик,ЛСП,03:36,216
789,Полигон,Oxxxymiron,03:40,220
790,Между нами,Lizer,04:16,256
791,Чёрное солнце,Би-2,04:50,290
792,Panda E,CYGO,04:42,282
793,Поболело и прошло,HENSY,02:34,154
794,Фары,PIZZA,03:48,228
795,Сахарный человек,GONE.Fludd,02:46,166
796,По глазам,SLAVA MARLOW,02:00,120
797,Снова я напиваюсь,SLAVA MARLOW,01:57,117
798,Крики в никуда,Mnogoznaal,02:09,129
799,Это любовь,Скриптонит,04:39,279
800,Billboard,Скриптонит & Miyagi & 104 & Andy Panda & TumaniYO,04:58,298
801,Infinity Volume Two,LXST CXNTURY,02:03,123
802,5 Nights Crazy,Big Baby Tape & kizaru,02:20,140
803,РАТАТАТАТА,MORGENSHTERN & Витя АК,01:58,118
804,КРАСНОЕ ВИНО ФРИСТАЙЛ,MORGENSHTERN & Frame Tamer,02:52,172
805,ЧЕТЫРЕ УКРАИНКИ,MORGENSHTERN,02:03,123
806,Выход есть всегда,Lizer,04:04,244
807,East of Eden,Zella Day,03:06,186
808,SUICIDE YEAR,WEEDMANE & Suicideyear,01:32,92
809,Internal,Rogue Dave,01:41,101
810,Alive,ati2x06 & lusttqwe & bexter,03:00,180
811,MIRAX,LXST CXNTURY,02:35,155
812,Forever,ilyTOMMY,01:48,108
813,Andromeda,LXST CXNTURY,03:37,217
814,МАМБЛ,GONE.Fludd,02:36,156
815,Поэма о Родине,Хаски,02:42,162
816,Brooklyn,Miyagi & Andy Panda & TumaniYO,03:13,193
817,Antarctica,$uicideboy$,02:07,127
818,Минус 40,Mnogoznaal,02:35,155
819,Empathy,Crystal Castles,04:11,251
820,Black Out Days,Phantogram,03:47,227
821,Cornfield Chase,Dorian Marko,02:08,128
822,silhouette,Dorian Papiez,02:14,134
823,BLACK OUT DAYS,Lilybelle,03:21,201
824,Can't Pretend,Tom Odell,03:38,218
825,"Детка, послушай",Noize MC,03:39,219
826,スピードデーモン,HXVRMXN,02:27,147
827,DOF,Mnogoznaal,02:11,131
828,another love,1NZZiDENT,04:08,248
829,Stolen Dance,Milky Chance,05:14,314
830,Riptide,Vance Joy,03:24,204
831,Sweater Weather,The Neighbourhood,04:00,240
832,Call Me,plenka,02:41,161
833,Демоны,Три дня дождя,03:25,205
834,Люди с автоматами,Swanky Tunes & Монеточка & Noize MC,03:13,193
835,Неважно,Макс Корж,03:19,199
836,Override,KSLV Noh,01:55,115
837,Веснянка,Go_A,04:13,253
838,Вечеринка,Скриптонит,06:03,363
839,Грабли,Noize MC,04:37,277
840,Грязь,Кишлак,02:22,142
841,FALLEN,JEEMBO & Pschd,03:39,219
842,Hugging You,Tom Rosenthal,02:52,172
843,Я жду зла,Loqiemean,03:30,210
844,Супер агент,Макс Корж,03:21,201
845,В последний раз,МОЛОДОСТЬ ВНУТРИ & Katanacss,03:02,182
846,По пьяни,МОЛОДОСТЬ ВНУТРИ,02:28,148
847,Горе,DenDerty & МОЛОДОСТЬ ВНУТРИ,02:38,158
848,AMNESIA,LXST CXNTURY,02:55,175
849,Hear Me Now,Exile,03:13,193
850,Castle,Exile,03:40,220
851,Tututu,Exile,02:56,176
852,Fly,Exile,03:09,189
853,Тралики,Макс Корж,04:07,247
854,Нет новостей,Макс Корж,03:33,213
855,Патрон,Кондрашов,01:59,119
856,Мы умрём,Парнишка & ELLA,03:15,195
857,Серотонин,МОЛОДОСТЬ ВНУТРИ,02:52,172
858,потанцуй со мной,losttoyland,03:07,187
859,Панелька,Хаски,03:03,183
860,Спасибо,John Doe,01:47,107
861,DISNEY,SQWOZ BAB & ЛСП,03:29,209
862,Нет тебя,Дора & ЛСП,03:43,223
863,10 негритят,ЛСП,03:18,198
864,Мало,Ayyo & Смоки Мо,02:36,156
865,20,SLAVA MARLOW,01:54,114
866,Контракт,Пошлая Молли,03:25,205
867,Убийца Свин,ЛСП,02:30,150
868,Вселенная бесконечна?,Noize MC,04:21,261
869,Балдёж,Кузьма,02:58,178
870,Pika Girl,S3RL,03:46,226
871,Пикачу,ЛСП,03:39,219
872,Парень с блока,ЛСП,03:04,184
873,Парный дурак,ЛСП,02:49,169
874,Девочка-пришелец,ЛСП,03:04,184
875,Тело,ЛСП,03:45,225
876,CLOUDS,NF,04:04,244
877,Цветы над черепами,pyrokinesis & STED.D,04:05,245
878,дети немой страны,конец солнечных дней,02:12,132
879,Хочется,Градусы,03:00,180
880,Идеальный пациент (1 часть),RAM,02:48,168
881,Плохо танцевать,IOWA,03:23,203
882,Крутой чел,Макс Корж,04:29,269
883,Весна,Lizer,02:36,156
884,Bandana,Big Baby Tape & kizaru,02:32,152
885,Million,Big Baby Tape & kizaru,02:15,135
886,On Da Block,KURT92 & Kaito Shoma,02:32,152
887,Потерян и не найден,ЛСП,03:04,184
888,Голая,Градусы,04:07,247
889,Непохожие,Quest Pistols Show,03:01,181
890,Маршрутка,IOWA,03:11,191
891,Улыбайся,IOWA,03:38,218
892,Простая песня,IOWA,03:24,204
893,140,IOWA,03:37,217
894,Почитай старших,Noize MC,03:22,202
895,DEEP FUSION,LXST CXNTURY,03:26,206
896,Гостиница Космос,Mnogoznaal,02:21,141
897,Gimme The Loot,Big Baby Tape,02:21,141
898,Timberlake,BONES & Juicy J,02:14,134
899,Dream Space,DVRST,02:51,171
900,Там ревели горы,Miyagi & Andy Panda,02:57,177
901,Stan,Eminem & Dido,06:44,404
902,Танцуй сама,Скриптонит,04:37,277
903,Без даты,УННВ,04:02,242
904,masquerade,siouxxie sixxsta,02:25,145
905,S.X.N.D. N.X.D.E.S.,GREEN ORXNGE & Send 1,01:55,115
906,Suffer With Me,Liue,03:28,208
907,Воин,Sagath,02:39,159
908,UWU,KEAN DYSSO,01:56,116
909,Hotline,Kaito Shoma,02:38,158
910,Sahara,Hensonn,02:51,171
911,Armin,NKOHA,02:56,176
912,Колхозник,Mnogoznaal,02:39,159
913,Kill Yourself (Part III),$uicideboy$,02:25,145
914,Close Eyes,DVRST,02:12,132
915,Niagara,KURT92,02:01,121
916,Odium,LXST CXNTURY & Kingpin Skinny Pimp,02:47,167
917,UNITY,LXST CXNTURY & Kingpin Skinny Pimp,02:22,142
918,Положение,Скриптонит,04:43,283
919,Абсолютно чёрное тело,pyrokinesis,02:49,169
920,Не сотвори себе кумира,Sagath,03:33,213
921,За гранью здравого смысла (1 часть),RAM & Suaalma,03:40,220
922,Вали,Канги,02:44,164
923,Патрон,Miyagi & Andy Panda,03:45,225
924,Minor,Miyagi & Andy Panda,02:56,176
925,Yamakasi,Miyagi & Andy Panda,04:24,264
926,Вспоминай меня,Макс Корж,06:32,392
927,Напалм,Макс Корж,02:20,140
928,Тает дым,Макс Корж,03:27,207
929,В её постели,ЛСП,02:58,178
930,Вояджер-1,Noize MC,03:35,215
931,Устал,Канги,02:22,142
932,Улетай на крыльях ветра,Dabro remix,02:42,162
933,Don't Leave Me Here,R.L. Beats,02:23,143
934,LooseScrew,BONES & Eddy Baker,02:54,174
935,Азбука,Boulevard Depo & SP4K,02:07,127
936,В темноте,Noize MC,03:27,207
937,За тобой,Макс Корж,03:57,237
938,Я сегодня очень злой,Sagath & Subhadra,03:21,201
939,Вызывай экзорциста,Sagath,02:17,137
940,Friendly Fire,Boulevard Depo,02:02,122
941,Лирика,Вектор А,02:53,173
942,Мясо,Sagath,02:48,168
943,Смерть,Lizer,03:16,196
944,Мне автомат бы (prod. by northparadise),PAVELB4H,02:15,135
945,Чёрное солнышко,pyrokinesis,03:22,202
946,Чистый,Скриптонит,03:14,194
947,Времена,Макс Корж,05:19,319
948,Я смотрю аниме,DK,03:42,222
949,Всё в порядке,DK,02:35,155
950,Я тут,DK,02:58,178
951,Душевнобольной,Sagath,03:02,182
952,Альма-матер,pyrokinesis,02:38,158
953,Автоплей,ЛСП,03:30,210
954,Стиморол,ЛСП,02:36,156
955,Подельник,ЛСП,02:38,158
956,Свиное рыло,ЛСП,03:06,186
957,Blood // Water,grandson,03:35,215
958,Centuries,Fall Out Boy,03:49,229
959,Зависимость,pyrokinesis,02:47,167
960,Легенда о Богине Гроз,pyrokinesis,03:25,205
961,Сигаретка без кнопки,pyrokinesis,03:03,183
962,Днями-ночами,pyrokinesis & МУККА,03:17,197
963,диско элизиум,pyrokinesis,03:14,194
964,Сахарная вата,pyrokinesis,03:22,202
965,Веснушки,pyrokinesis,03:28,208
966,Цветами радуги,pyrokinesis,04:00,240
967,Некуда бежать,BOOKER & МУККА & pyrokinesis,02:51,171
968,Numb,Linkin Park,03:08,188
969,Legend,The Score,03:09,189
970,Снова один,Тони Раут,03:08,188
971,Интроверт,Тони Раут,03:32,212
972,Хватит,Иван Рейс & Тони Раут,03:02,182
973,Kaonashi,Тони Раут,02:26,146
974,МОШПИТ,OSCAL & Тони Раут,03:04,184
975,Танцуй на костях,Тони Раут & Talibal,03:01,181
976,Карнавал,Тони Раут,02:53,173
977,За всех,MACAN,01:45,105
978,Пополам,BRANYA & MACAN,02:22,142
979,Ненависть к себе,Нефиг делать & Автостопом по фазе сна,02:31,151
980,Канат,ЛСП,03:30,210
981,Я уёбываю в джаз,Кишлак,02:25,145
982,Улица,Lizer,03:25,205
983,Люди,Вектор А,03:07,187
984,Пролетарка,Макс Корж,03:48,228
985,Тор,HELVEGEN,03:00,180
986,Слава роду,HELVEGEN,03:03,183
987,Народная,Вектор А & METAN,02:15,135
988,Мы все умрем,Oxxxymiron,02:46,166
989,Обиды,Дайте танк (!),02:55,175
990,Маленький,Дайте танк (!),04:05,245
991,Спам,Дайте танк (!),03:41,221
992,My Blood,twenty one pilots,03:49,229
993,Hometown,twenty one pilots,03:55,235
994,Nico and the Niners,twenty one pilots,03:47,227
995,Ride,twenty one pilots,03:35,215
996,Polarize,twenty one pilots,03:47,227
997,Experience,Ludovico Einaudi & Daniel Hope & I Virtuosi Italiani,05:13,313
998,Truce,twenty one pilots,02:23,143
999,Wait,M83,05:43,343
1000,It's Ok,Tom Rosenthal,03:11,191
1001,Intro,The xx,02:08,128
1002,Красота и Уродство,Oxxxymiron,02:39,159
1003,Хоп-механика,Oxxxymiron,02:18,138
1004,LIVE ANOTHER DAY,Kordhell,02:14,134
1005,Die a King,Iamjakehill,02:49,169
1006,HOLY SMOKES!,Sxmpra,02:08,128
1007,Ocean Drive,Duke Dumont,03:26,206
1008,Будь что будет,Suleeking Nazlim,02:28,148
1009,In the End,Linkin Park,03:37,217
1010,Back In Black,AC/DC,04:12,252
1011,Call Me Maybe,Carly Rae Jepsen,03:13,193
1012,Hero,Skillet,03:07,187
1013,Эндорфин,Макс Корж,04:29,269
1014,Солнечная Сторона,Loqiemean,03:24,204
1015,Money Rain,VTORNIK,02:35,155
1016,Dynamic,KSLV Noh,02:00,120
1017,Пламя,Sagath & Bearded Legend & Fatal-M,02:51,171
1018,Эмигрант,Макс Корж,02:49,169
1019,Мотылёк,Макс Корж,03:57,237
1020,Затащите меня в ад,Sagath,02:56,176
1021,Ураган,Sagath,02:53,173
1022,По пятам,Sagath & Heartsnow,03:23,203
1023,Papaoutai,Stromae,03:52,232
1024,Мамонтёнок,ЛСП,03:36,216
1025,Цветная бумага,ЛСП,02:59,179
1026,Именно такой'20,ЛСП,04:09,249
1027,Золушка,ЛСП,03:55,235
1028,Вспоминай,ЛСП,03:27,207
1029,Бинокль,ЛСП,03:29,209
1030,Лучше чем интернет,ЛСП,03:00,180
1031,Метеоритный дождь,ЛСП,02:58,178
1032,I Kissed a Girl,Katy Perry,03:00,180
1033,Пора возвращаться домой,Би-2 & Oxxxymiron,04:49,289
1034,Переплетено,Oxxxymiron,04:51,291
1035,Runaway Baby,Bruno Mars,02:28,148
1036,Got U (Ready or Not),Kokab,03:12,192
1037,JUST LIKE FIRE,Lilybelle,03:53,233
1038,Lucky Strike,Maroon 5,03:05,185
1039,Clandestina (Cover),Emma Peters & Edmofo Remix,03:33,213
1040,you not the same,Tilekid,02:09,129
1041,La La La,ONEIL & Miscris,02:43,163
1042,Moves Like Jagger,Maroon 5 & Christina Aguilera,03:23,203
1043,Until We Die,Wateva & Next to neon,02:57,177
1044,Оригами,АДЛИН,02:35,155
1045,З.Л.О.,Sagath,02:17,137
1046,Плевок в вечность,ЛСП,03:14,194
1047,Лабиринт отражений,ЛСП,02:58,178
1048,I Like U,Lucky Luke & Gaullin,02:33,153
1049,Fly Away,Lucky Luke & Duke Luke,02:52,172
1050,Cooler Than Me,Lucky Luke,03:00,180
1051,House of Gold,twenty one pilots,02:44,164
1052,Car Radio,twenty one pilots,04:28,268
1053,ПРИЗРАКОВ НЕ СУЩЕСТВУЕТ,ЯМАУГЛИ,02:26,146
1054,Тарантино,ЯМАУГЛИ,02:52,172
1055,Get Lost,Paul Damixie,03:16,196
1056,Under Control (vocal),Party Tyme,03:06,186
1057,Game,Lucky Luke & Duke Luke,02:19,139
1058,Summertime Sadness,XD & Kiki,02:38,158
1059,Fake You Out,twenty one pilots,03:51,231
1060,THIS IS WHAT YOU CAME FOR,Ravionx,03:59,239
1061,Don't You Worry Child,Swedish House Mafia & John Martin,03:33,213
1062,HUNDRED MILES,Thicc Aesth,02:53,173
1063,Tear in My Heart,twenty one pilots,03:08,188
1064,Chasing The Sun,The Wanted,03:15,195
1065,Alien,Galantis & Lucas & Steve & ILIRA,02:46,166
1066,Don't Worry (with Ray Dalton),Madcon & Ray Dalton,03:34,214
1067,TiK ToK,Kesha,03:20,200
1068,Everybody Talks,Neon Trees,02:57,177
1069,Beautiful Now,Zedd & Jon Bellion,03:38,218
1070,This Girl,Kungs & Cookin' On 3 Burners,03:16,196
1071,Heavydirtysoul,twenty one pilots,03:55,235
1072,One More Night,Maroon 5,03:40,220
1073,Runaway (U & I),Galantis,03:47,227
1074,Highway to Hell,Oz Rocks,03:29,209
1075,Tous Les Mêmes,Stromae,03:34,214
1076,No Lie,Sean Paul & Dua Lipa,03:41,221
1077,Feel Good Inc.,Gorillaz & De La Soul & Jamie Hewlett,03:45,225
1078,August,Intelligency & MBNN,02:46,166
1079,THE GREATEST,Sped Up Plus,03:28,208
1080,TIMBER,Speed Radio,03:34,214
1081,No Money,Galantis,03:11,191
1082,Одна,АДЛИН & Килджо,02:04,124
1083,Dead Inside,АДЛИН,02:05,125
1084,No Love,АДЛИН,02:07,127
1085,CAN YOU FEEL MY HEART,Vamp,03:48,228
1086,Where's My Love,SYML,03:22,202
1087,Without Me,Eminem,04:22,262
1088,Конец света,ЛСП,05:48,348
1089,Еще один день,ЛСП,04:04,244
1090,Отброс,ЛСП,02:32,152
1091,Home,Luke McCormick,05:18,318
1092,Suspicion,LP,03:20,200
1093,Плак-плак,IC3PEAK,03:23,203
1094,"Ой, мама",Горный,02:33,153
1095,Марш,IC3PEAK,02:33,153
1096,Смерти больше нет,IC3PEAK,03:22,202
1097,Деньги не проблема,ЛСП,03:57,237
1098,Разобраться,Lizer,02:55,175
1099,OK,ЛСП,03:06,186
1100,Знак,Sagath,02:44,164
1101,Никогда,ЛСП,02:28,148
1102,Белый танец,ЛСП,04:35,275
1103,Канкан,ЛСП,04:14,254
1104,Холостяк,ЛСП,02:22,142
1105,Бенгер,KURT92,02:13,133
1106,Нейротоксин,DEEP-EX-SENSE & walkie,02:38,158
1107,Счастье любит тишину,КУОК,03:49,229
1108,Домашний,Макс Корж,03:39,219
1109,26.04,Noize MC,03:50,230
1110,Спрос,ЛСП,02:50,170
1111,Нет имени,KURT92,02:33,153
1112,Мемфис,ЯМАУГЛИ,02:07,127
1113,Люли,kostromin,02:27,147
1114,Флэт,Макс Корж & FOTH,03:57,237
1115,RUSSIA,ДЕТИ RAVE,01:33,93
1116,Выключи Свет,KURT92,02:15,135
1117,Кто такой?,КлоуКома,02:03,123
1118,Ноябрь,Макс Корж,04:27,267
1119,Перцовый баллон,METAN,03:09,189
1120,Андеграунд,METAN & Вектор А,02:36,156
1121,Детство,Rauf & Faik,03:08,188
1122,"День, когда мы встретились с тобой",Папин Олимпос,02:46,166
1123,Я всегда буду рядом,Дора,03:29,209
1124,Шнурки,METAN,02:05,125
1125,Терпи,Lovingpray & M.A.T.,03:11,191
1126,Nostalgia,BLESSED MANE,02:53,173
1127,Рок-звезда,SLAVA MARLOW & Pureloveka,02:15,135
1128,My Enemy,CHVRCHES & Matt Berninger,03:53,233
1129,Позови меня тихо по имени,Любэ,02:41,161
1130,Ты неси меня река,Любэ,03:36,216
1131,Конь,Любэ,03:38,218
1132,Двадцать три,фрэнк?,01:35,95
1133,Lost on You,LP,03:31,211
1134,Somebody That I Used To Know,Gotye & Kimbra,04:05,245
1135,Молодым,Lizer,03:29,209
1136,All The Right Moves,OneRepublic,03:58,238
1137,Life,Артём Зайцев,02:29,149
1138,Something Just Like This,The Chainsmokers & Coldplay,04:07,247
1139,La La La,Naughty Boy & Sam Smith,03:41,221
1140,Paper Planes,M.I.A.,03:25,205
1141,Всё как у людей,Noize MC,04:17,257
1142,КУРЮ НЕ МОГУ ДЫШАТЬ,KURT92,01:57,117
1143,Let's Get It On,KURT92,01:56,116
1144,Are You with Me,Lost Frequencies,02:18,138
